data,idVotacao,idProposicao
2021-06-09,2284773-2,2284773
2021-06-09,2284782-2,2284782
2021-06-09,2284871-3,2284871
2021-06-09,2285400-3,2285400
2021-06-09,2285401-2,2285401
2021-06-09,2285526-2,2285526
2021-06-09,2285526-3,2285526
2021-06-09,2285532-2,2285532
2021-06-09,2285532-3,2285532
2021-06-09,2285685-2,2285685
2021-06-09,2285685-3,2285685
2021-06-09,2285728-3,2285728
2021-06-09,2285730-3,2285730
2021-06-09,2285732-3,2285732
2021-06-09,2285733-3,2285733
2021-06-09,2285762-2,2285762
2021-06-09,2285763-2,2285763
2021-06-09,2285763-3,2285763
2021-06-09,2285788-3,2285788
2021-06-09,2285790-3,2285790
2021-06-09,504523-111,518699
2021-06-09,504523-111,2177975
2021-06-09,504523-111,2284962
2021-06-09,541907-91,2282174
2021-06-09,587127-109,2093290
2021-06-09,587127-109,2164217
2021-06-09,587127-109,2164227
2021-06-09,587127-109,2171964
2021-06-09,587127-109,2171968
2021-06-09,587127-109,2172963
2021-06-09,587127-109,2215960
2021-06-09,587127-109,2215961
2021-06-09,587127-109,2280286
2021-06-09,587127-109,2280287
2021-06-09,622021-86,2017354
2021-06-09,622021-86,2044312
2021-06-09,622021-86,2112006
2021-06-09,622021-86,2140108
2021-06-09,622021-86,2182080
2021-06-09,622021-86,2222522
2021-06-09,622021-86,2279342
2021-06-09,2168586-52,2211963
2021-06-09,2168586-52,2275843
2021-06-09,2168586-52,2275844
2021-06-09,2168586-52,2275984
2021-06-09,2200728-57,2220202
2021-06-09,2200728-57,2225301
2021-06-09,2200728-57,2225302
2021-06-09,2242297-25,2283595
2021-06-09,2262902-24,2284626
2021-06-09,2266680-25,2282449
2021-06-09,2266680-25,2282450
2021-06-09,2285200-2,2285200
2021-06-09,2285204-2,2285204
2021-06-09,2285283-2,2285283
2021-06-09,2285285-2,2285285
2021-06-09,2285286-2,2285286
2021-06-09,2285488-2,2285488
2021-06-09,2285489-2,2285489
2021-06-09,2285490-2,2285490
2021-06-09,2285491-2,2285491
2021-06-09,2285493-2,2285493
2021-06-09,2285494-2,2285494
2021-06-09,2189251-41,2196765
2021-06-09,2189251-41,2280216
2021-06-09,2189251-41,2280218
2021-06-09,2215120-38,2285973
2021-06-09,2215120-38,2285974
2021-06-09,2229117-31,2279062
2021-06-09,2283247-4,2283247
2021-06-09,2284103-4,2284103
2021-06-09,2285163-4,2285163
2021-06-09,1733201-38,2025538
2021-06-09,1733201-38,2230420
2021-06-09,1733201-38,2284971
2021-06-09,2248288-25,2284955
2021-06-09,2248288-25,2284957
2021-06-09,2248288-25,2286450
2021-06-09,2252113-21,2284110
2021-06-09,2258974-35,2282315
2021-06-09,2258974-35,2286446
2021-06-09,2258974-36,2282315
2021-06-09,2258974-36,2286446
2021-06-09,2260814-26,2285098
2021-06-09,2281095-2,2281095
2021-06-09,2283331-3,2283331
2021-06-09,2283992-3,2283992
2021-06-09,2285273-2,2285273
2021-06-09,2285337-2,2285337
2021-06-09,2285503-2,2285503
2021-06-09,2285504-2,2285504
2021-06-09,2285770-2,2285770
2021-06-09,2285774-2,2285774
2021-06-09,2285775-2,2285775
2021-06-09,2285883-2,2285883
2021-06-09,2285916-2,2285916
2021-06-09,2285918-2,2285918
2021-06-09,2285941-2,2285941
2021-06-09,2192602-45,2210313
2021-06-09,2192602-45,2211629
2021-06-09,2211629-12,2216435
2021-06-09,2270882-8,2270882
2021-06-09,2274251-32,2274730
2021-06-09,2274251-32,2285959
2021-06-09,2274251-32,2286037
2021-06-09,2274251-32,2286252
2021-06-09,2274251-32,2286425
2021-06-09,2274251-33,2274730
2021-06-09,2274251-33,2285959
2021-06-09,2274251-33,2286037
2021-06-09,2274251-33,2286252
2021-06-09,2274251-33,2286425
2021-06-09,2274251-37,2274730
2021-06-09,2274251-37,2285959
