UF,id,nomeEleitoral,siglaPartido
CE,195866,Vaidon Oliveira,PROS
MG,160518,Weliton Prado,PROS
GO,204413,Alcides Rodrigues,PRP
DF,204374,Bia Kicis,PRP
BA,204567,Raimundo Costa,PRP
RJ,215042,Ricardo da Karol,PRP
RJ,160511,Alessandro Molon,PSB
PR,178927,Aliel Machado,PSB
PI,74459,Átila Lira,PSB
MA,204561,Bira do Pindaré,PSB
AP,204352,Camilo Capiberibe,PSB
PA,204499,Cássio Andrade,PSB
PE,160528,Danilo Cabral,PSB
CE,204542,Denis Bezerra,PSB
GO,204389,Elias Vaz,PSB
MG,161550,Emidinho Madeira,PSB
PE,72442,Felipe Carreras,PSB
ES,204371,Felipe Rigoni,PSB
PB,204394,Gervásio Maia,PSB
PE,74419,Gonzaga Patriota,PSB
RS,178964,Heitor Schuch,PSB
SP,74273,Jefferson Campos,PSB
MG,73586,Júlio Delgado,PSB
BA,139285,Lídice da Mata,PSB
RS,204405,Liziane Bayer,PSB
PR,178931,Luciano Ducci,PSB
RJ,76874,Marcelo Freixo,PSB
BA,204558,Marcelo Nilo,PSB
RO,141508,Mauro Nazif,PSB
PE,92172,Milton Coelho,PSB
RN,178951,Rafael Motta,PSB
SP,213274,Ricardo Silva,PSB
SP,204530,Rodrigo Agostinho,PSB
SC,204366,Rodrigo Coelho,PSB
SP,204525,Rosana Valle,PSB
SP,204534,Tabata Amaral,PSB
PE,178922,Tadeu Alencar,PSB
ES,206231,Ted Conti,PSB
MG,204483,Vilson da Fetaemg,PSB
MA,178881,Aluisio Mendes,PSC
PE,204423,André Ferreira,PSC
MG,204482,Euclydes Pettersen,PSC
SP,74270,Gilberto Nascimento,PSC
GO,204419,Glaustin da Fokus,PSC
ES,160534,Lauriete,PSC
TO,204363,Osires Damaso,PSC
RJ,204441,Otoni de Paula,PSC
PR,193726,Paulo Eduardo Martins,PSC
AP,217330,Pedro Dalua,PSC
RJ,215042,Ricardo da Karol,PSC
SE,204385,Valdevan Noventa,PSC
PE,74471,André de Paula,PSD
BA,160553,Antonio Brito,PSD
SP,204504,Cezinha de Madureira,PSD
BA,205476,Charles Fernandes,PSD
SC,116379,Darci de Matos,PSD
PA,178908,Delegado Éder Mauro,PSD
MG,160588,Diego Andrade,PSD
CE,143632,Domingos Neto,PSD
MA,204562,Edilázio Júnior,PSD
RO,178953,Expedito Netto,PSD
SE,178969,Fábio Mitidieri,PSD
MS,160587,Fábio Trad,PSD
GO,204392,Francisco Jr.,PSD
RR,204465,Haroldo Cathedral,PSD
RJ,141450,Hugo Leal,PSD
PA,178910,Joaquim Passarinho,PSD
RJ,217480,Jones Moura,PSD
BA,160619,José Nunes,PSD
PI,74317,Júlio Cesar,PSD
PA,204497,Júnior Ferrari,PSD
SP,204522,Marco Bertaiolli,PSD
AL,178843,Marx Beltrão,PSD
MG,178895,Misael Varella,PSD
ES,74165,Neucimar Fraga,PSD
BA,204573,Otto Alencar Filho,PSD
BA,74574,Paulo Magalhães,PSD
RS,216544,Paulo Vicente Caleffi,PSD
RJ,215045,Pedro Augusto Palareti,PSD
PR,205865,Reinhold Stephanes Junior,PSD
SC,204362,Ricardo Guidi,PSD
PR,178930,Roman,PSD
PR,204387,Sargento Fahur,PSD
BA,73808,Sérgio Brito,PSD
AM,204557,Sidney Leite,PSD
MG,92776,Stefano Aguiar,PSD
PR,204396,Vermelho,PSD
BA,204560,Adolfo Viana,PSDB
MG,74646,Aécio Neves,PSDB
SP,204544,Alexandre Frota,PSDB
MS,204358,Beto Pereira,PSDB
MS,207176,Bia Cavassa,PSDB
SP,160589,Bruna Furlan,PSDB
SP,74262,Carlos Sampaio,PSDB
GO,178876,Célio Silveira,PSDB
PA,204496,Celso Sabino,PSDB
RS,204409,Daniel Trzeciak,PSDB
CE,62881,Danilo Forte,PSDB
MG,160758,Domingos Sávio,PSDB
PB,204421,Edna Henrique,PSDB
MG,74655,Eduardo Barbosa,PSDB
SP,178977,Eduardo Cury,PSDB
SC,178966,Geovania de Sá,PSDB
RS,204404,Lucas Redecker,PSDB
AC,204471,Mara Rocha,PSDB
RO,178956,Mariana Carvalho,PSDB
PA,74352,Nilson Pinto,PSDB
RJ,141515,Otavio Leite,PSDB
MG,141516,Paulo Abi-Ackel,PSDB
PB,178912,Pedro Cunha Lima,PSDB
AL,178844,Pedro Vilela,PSDB
MG,141531,Rodrigo de Castro,PSDB
MS,204357,Rose Modesto,PSDB
PR,178935,Rossoni,PSDB
PB,160635,Ruy Carneiro,PSDB
SP,178990,Samuel Moreira,PSDB
RR,178961,Shéridan,PSDB
AL,204466,Tereza Nelma,PSDB
SP,141553,Vanderlei Macris,PSDB
SP,178992,Vitor Lippi,PSDB
SP,204521,Abou Anni,PSL
MG,204545,Alê Silva,PSL
SP,204544,Alexandre Frota,PSL
PR,204400,Aline Sleutjes,PSL
DF,204374,Bia Kicis,PSL
RS,204388,Bibo Nunes,PSL
SP,204502,Bozzella,PSL
SP,204507,Carla Zambelli,PSL
RJ,204460,Carlos Jordy,PSL
SC,204369,Caroline de Toni,PSL
PA,204496,Celso Sabino,PSL
MG,204490,Charlles Evangelista,PSL
RJ,204462,Chris Tonietto,PSL
SC,204376,Coronel Armando,PSL
RO,204378,Coronel Chrisóstomo,PSL
SP,204514,Coronel Tadeu,PSL
SC,204367,Daniel Freitas,PSL
RJ,204454,Daniel Silveira,PSL
RJ,204451,Delegado Antônio Furtado,PSL
MG,204512,Delegado Marcelo Freitas,PSL
AM,204569,Delegado Pablo,PSL
GO,164359,Delegado Waldir,PSL
MS,204351,Dr. Luiz Ovando,PSL
ES,81297,Dra. Soraya Manato,PSL
SP,92346,Eduardo Bolsonaro,PSL
SC,204368,Fabio Schiochet,PSL
RJ,204477,Felício Laterça,PSL
PR,204398,Felipe Francischini,PSL
PR,204411,Filipe Barros,PSL
RN,204473,General Girão,PSL
SP,204484,General Peternelli,PSL
SP,204513,Guiga Peixoto,PSL
RJ,204442,Gurgel,PSL
CE,204548,Heitor Freire,PSL
RJ,204444,Helio Lopes,PSL
SP,204546,Joice Hasselmann,PSL
PB,204420,Julian Lemos,PSL
MG,204520,Junio Amaral,PSL
MG,204547,Léo Motta,PSL
MS,204382,Loester Trutis,PSL
RJ,196358,Lourival Gomes,PSL
PE,74478,Luciano Bivar,PSL
RJ,204455,Luiz Lima,PSL
SP,204526,Luiz Philippe de Orleans e Bragança,PSL
RJ,204458,Major Fabiana,PSL
MG,179000,Marcelo Álvaro Antônio,PSL
RS,205863,Marcelo Brum,PSL
RJ,204452,Márcio Labre,PSL
MT,204449,Nelson Barbudo,PSL
RS,204415,Nereu Crispim,PSL
RR,204479,Nicoletti,PSL
RJ,204446,Professor Joziel,PSL
BA,204565,Professora Dayane Pimentel,PSL
RS,204416,Sanderson,PSL
GO,179587,Vitor Hugo,PSL
MG,204509,Áurea Carolina,PSOL
RJ,205548,David Miranda,PSOL
RS,204407,Fernanda Melchionna,PSOL
RJ,152605,Glauber Braga,PSOL
SP,73531,Ivan Valente,PSOL
SP,74784,Luiza Erundina,PSOL
RJ,76874,Marcelo Freixo,PSOL
SP,204535,Sâmia Bomfim,PSOL
RJ,204464,Talíria Petrone,PSOL
PA,215044,Vivi Reis,PSOL
BA,160508,Afonso Florence,PT
PA,204495,Airton Faleiro,PT
SP,204501,Alencar Santana Braga,PT
SP,204503,Alexandre Padilha,PT
SP,73433,Arlindo Chinaglia,PT
RJ,73701,Benedita da Silva,PT
PA,141335,Beto Faro,PT
RS,160538,Bohn Gass,PT
PE,204426,Carlos Veras,PT
SP,141398,Carlos Zarattini,PT
TO,204370,Célio Moura,PT
PR,132504,Enio Verri,PT
DF,160575,Erika Kokay,PT
PB,204393,Frei Anastacio Ribeiro,PT
PR,107283,Gleisi Hoffmann,PT
ES,178873,Helder Salomão,PT
RS,73482,Henrique Fontana,PT
SE,178970,João Daniel,PT
BA,178857,Jorge Solla,PT
CE,141464,José Airton Félix Cirilo,PT
CE,141470,José Guimarães,PT
